City,Locality,Area,Type,BHK,Furnished,Distance_from_Metro,Price
hyderabad,dilsukhnagar,1200,0,2,2,2,45
hyderabad,dilsukhnagar,592,0,2,2,0.1,27
hyderabad,dilsukhnagar,1500,0,3,0,2,93
hyderabad,dilsukhnagar,1200,0,3,2,0.1,60
hyderabad,dilsukhnagar,1440,0,3,0,0.1,85
hyderabad,dilsukhnagar,1300,0,3,1,0.7,66
hyderabad,dilsukhnagar,750,0,1,2,0.1,30
hyderabad,dilsukhnagar,1000,0,2,0,0.5,60
hyderabad,dilsukhnagar,700,0,2,0,2.5,22
hyderabad,dilsukhnagar,2500,1,3,1,0.2,165
hyderabad,dilsukhnagar,5000,1,7,1,0,360
hyderabad,dilsukhnagar,800,1,2,1,0.2,95
hyderabad,dilsukhnagar,2000,1,3,0,1.5,87
hyderabad,dilsukhnagar,1773,1,3,0,3,216
hyderabad,kukatpally,1100,0,2,0,1.5,70
hyderabad,kukatpally,1075,0,2,0,1,65
hyderabad,kukatpally,1570,0,3,0,1,81
hyderabad,kukatpally,1015,0,2,1,0.1,42
hyderabad,kukatpally,1000,0,2,1,1,45
hyderabad,kukatpally,1155,0,2,0,0.1,80
hyderabad,kukatpally,1200,0,2,1,0.5,60
hyderabad,kukatpally,1660,0,3,2,1,88
hyderabad,kukatpally,1179,0,3,2,1,92
hyderabad,kukatpally,1535,0,3,2,2,95
hyderabad,kukatpally,2100,1,3,1,1.2,98
hyderabad,kukatpally,2300,1,3,0,1.2,140
hyderabad,kukatpally,2950,1,4,1,0.1,650
hyderabad,kukatpally,2940,1,4,1,0.1,625
hyderabad,kukatpally,2000,1,4,1,0.5,325
banglore,indira nagar,1300,0,3,2,0.2,140
banglore,indira nagar,5400,1,6,1,1,216
banglore,indira nagar,2500,1,4,1,0.5,660
banglore,indira nagar,1170,0,2,2,0.1,95
banglore,indira nagar,2159,0,3,1,0.2,200
banglore,indira nagar,1800,0,4,1,0.2,375
banglore,indira nagar,2785,0,4,2,0.1,410
banglore,indira nagar,1250,0,3,0,0,61
banglore,indira nagar,1630,0,3,0,0.8,228
banglore,indira nagar,1780,0,3,1,0.8,140
banglore,indira nagar,1100,0,2,1,1,120
banglore,indira nagar,3000,0,4,1,0.8,650
banglore,indira nagar,2400,1,4,2,0.5,300
banglore,indira nagar,1550,0,3,1,1,130
banglore,indira nagar,4850,1,4,0,0.2,1000
banglore,jayanagar,1025,0,2,1,0.4,135
banglore,jayanagar,1906,0,3,1,0.6,200
banglore,jayanagar,5000,0,4,0,1.2,945
banglore,jayanagar,1950,0,3,0,0.8,195
banglore,jayanagar,2100,0,3,0,0.8,275
banglore,jayanagar,1956,0,3,1,1,235
banglore,jayanagar,1655,0,3,0,1,149
banglore,jayanagar,3000,0,4,1,0.2,330
banglore,jayanagar,3000,1,3,1,1,545
banglore,jayanagar,1000,0,2,0,0.5,41
banglore,jayanagar,1222,0,2,1,0.1,87
banglore,jayanagar,1684,0,3,1,1,210
banglore,jayanagar,1539,0,3,0,1,150
banglore,jayanagar,3150,0,3,0,0.1,419
banglore,jayanagar,2162,0,3,0,0.4,308